id	sample1	sample2	sample3	sample4	sample5	sample6
gene1	111.03	166.68	191.78	185.8	239.27	185.86
gene2	3.28	3.79	2.13	4.77	4.1	2.71
gene3	384.4	408.26	410.81	368.04	521.75	377.87
gene4	16.92	20.46	17.11	25.64	29.69	22.01
gene5	12.05	26.94	17.86	34.5	31.34	28.52
gene6	11.85	22.7	18.53	16.99	22.55	23.62
gene7	2.62	4.04	3.17	4.8	5.92	6.17
gene8	12.03	20.29	14.44	17.78	19.67	18.46
gene9	23.97	20.33	26.3	34.74	21.77	29.29
gene10	5.96	1.7	6.4	5.64	5.6	6.27
gene11	42.7	90.73	86.58	196.16	147.51	186.49
gene12	2.77	4.42	5.15	9.63	26.55	11.24
gene13	14.11	16.2	24.3	11.49	14.82	12.5
gene14	16.35	27.72	26.81	23.45	32.02	25.57
gene15	10.28	12.38	10.86	13.3	17.65	16.83
gene16	13.8	11.54	17.73	26.2	16.88	18.57
gene17	225.52	183.88	206.77	287.4	154.39	220.52
gene18	55.2	99.26	65.53	25.25	18.65	18.64
gene19	12.84	9.77	9.16	27.85	26.73	31.04
gene20	1.02	0.36	2.09	2.08	1.03	0.5
gene21	39.55	66.7	70.07	43.68	52.35	37.26
gene22	64.96	113.31	98.57	83.18	126.31	100.5
gene23	1.38	0.56	1.49	1.46	0.89	0.94
gene24	1.94	1.88	2.33	1.36	2.08	1.8
gene25	13.22	19.91	18.22	30.48	36.34	31.43
gene26	7.63	7.86	8.03	18.37	20.82	15.79
gene27	6.48	9.24	13.44	9.79	13.78	11.35
gene28	1.05	0.0	4.45	0.48	1.92	1.89
gene29	39.99	40.19	42.47	64.01	43.8	59.43
gene30	2.58	2.11	5.75	2.25	1.85	1.63
gene31	5.07	4.57	5.85	25.17	16.35	28.55
gene32	35.12	37.02	37.82	29.95	24.36	27.16
gene33	37.93	46.17	52.7	45.55	58.33	50.17
gene34	73.34	83.4	79.88	59.28	84.99	70.89
gene35	11.78	12.86	12.77	57.22	70.96	74.95
gene36	67.14	93.32	93.03	94.02	101.31	110.73
gene37	22.65	28.64	27.37	39.42	37.86	33.45
gene38	198.01	261.88	291.81	392.44	352.06	361.2
gene39	11.06	11.92	13.23	22.03	28.72	21.99
gene40	104.18	173.91	178.76	514.2	997.44	621.4
gene41	3.06	0.0	4.34	1.42	0.0	0.92
gene42	1.47	4.34	5.03	3.49	3.82	2.7
gene43	54.35	77.09	72.9	52.49	71.54	66.1
gene44	8.92	19.62	16.68	1.93	1.92	1.89
gene45	116.9	150.07	162.82	288.42	486.0	349.26
gene46	9.05	10.59	13.76	11.41	10.5	12.39
gene47	20.78	25.48	27.98	45.1	40.14	43.39
